epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,18479,1.7461,1.56105,1.51982,0.49574,0.38886,0.41262,0.15452,2.23001,2.05033,1.98631,0.000566027,0.000566027,0.000566027
63,18776.2,1.73453,1.55753,1.51947,0.45934,0.34874,0.36288,0.14206,2.21031,2.08228,1.97775,0.00055188,0.00055188,0.00055188
64,19073.6,1.75995,1.55138,1.52281,0.46092,0.40395,0.38409,0.14947,2.19604,2.04678,1.96409,0.000537733,0.000537733,0.000537733
65,19371.3,1.75271,1.56411,1.52368,0.50345,0.40731,0.39163,0.14684,2.23817,2.05662,2.00735,0.000523586,0.000523586,0.000523586
66,19669.8,1.7263,1.52966,1.50812,0.47569,0.36285,0.35571,0.12827,2.24414,2.07756,2.01236,0.000509438,0.000509438,0.000509438
67,19966.3,1.6962,1.49017,1.47648,0.42853,0.39566,0.37385,0.13859,2.22135,2.04109,1.99551,0.000495291,0.000495291,0.000495291
68,20263,1.71928,1.48243,1.4884,0.4574,0.38014,0.3673,0.13225,2.25608,2.09122,2.04057,0.000481144,0.000481144,0.000481144
69,20559.4,1.71911,1.4853,1.4927,0.4221,0.37061,0.34335,0.12924,2.24228,2.08699,2.01103,0.000466997,0.000466997,0.000466997
70,20855.8,1.69741,1.49096,1.48963,0.44835,0.38596,0.3609,0.13303,2.22409,2.0707,1.98429,0.00045285,0.00045285,0.00045285
71,21152.7,1.67886,1.45329,1.47652,0.54335,0.36298,0.37879,0.13719,2.23479,2.0436,1.99625,0.000438703,0.000438703,0.000438703
72,21448.6,1.67431,1.46012,1.45669,0.54199,0.37958,0.39298,0.1492,2.19812,2.0407,1.98344,0.000424556,0.000424556,0.000424556
73,21745.1,1.66947,1.41108,1.45446,0.50412,0.3692,0.38342,0.14426,2.22916,2.10808,2.00108,0.000410409,0.000410409,0.000410409
74,22041.8,1.64542,1.39429,1.44901,0.4623,0.42547,0.38524,0.13943,2.26459,2.07445,2.03067,0.000396262,0.000396262,0.000396262
75,22338.2,1.66793,1.41968,1.46397,0.5176,0.38544,0.3904,0.14658,2.23237,2.06908,1.9994,0.000382115,0.000382115,0.000382115
76,22635.1,1.66103,1.41293,1.46479,0.41919,0.42936,0.37039,0.14298,2.24371,2.02188,2.0056,0.000367967,0.000367967,0.000367967
77,22931.9,1.6468,1.39718,1.45138,0.46984,0.38172,0.37541,0.14513,2.26461,2.08977,2.05504,0.00035382,0.00035382,0.00035382
78,23227.4,1.63746,1.36834,1.44133,0.49243,0.39237,0.39692,0.14471,2.2676,2.09722,2.02767,0.000339673,0.000339673,0.000339673
79,23759.9,1.62191,1.36605,1.43191,0.43531,0.41912,0.39715,0.14141,2.30445,2.06524,2.05326,0.000325526,0.000325526,0.000325526
80,24299.5,1.62276,1.36543,1.44639,0.46315,0.4233,0.403,0.1488,2.25744,2.02594,2.04433,0.000311379,0.000311379,0.000311379
81,24836.3,1.61422,1.35082,1.42862,0.5024,0.41241,0.40189,0.14675,2.24741,2.01687,2.02717,0.000297232,0.000297232,0.000297232
